City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Multai,IN,2022-03-10 21:46:07,21.7667,78.25,73.45,29,92,5.14
1,Thinadhoo,MV,2022-03-10 21:46:08,0.5333,72.9333,81.77,68,8,3.33
2,Raga,SS,2022-03-10 21:46:08,8.4596,25.678,84.79,17,93,2.68
3,Arraial Do Cabo,BR,2022-03-10 21:39:49,-22.9661,-42.0278,78.76,83,0,19.57
4,Bireun,ID,2022-03-10 21:46:09,5.203,96.7009,75.96,85,77,4.32
5,West Bay,KY,2022-03-10 21:46:09,19.3667,-81.4167,85.06,69,20,8.05
6,Darhan,MN,2022-03-10 21:46:10,49.4867,105.9228,16.61,91,100,4.41
7,Mataura,NZ,2022-03-10 21:42:19,-46.1927,168.8643,62.47,65,100,5.28
8,Yar-Sale,RU,2022-03-10 21:39:45,66.8333,70.8333,-16.28,100,93,6.98
9,Jamestown,US,2022-03-10 21:36:57,42.097,-79.2353,42.44,31,20,0.0
10,Barrow,US,2022-03-10 21:46:11,71.2906,-156.7887,-14.78,91,0,4.61
11,Ushuaia,AR,2022-03-10 21:41:33,-54.8,-68.3,49.66,62,0,14.97
12,Lebu,CL,2022-03-10 21:46:12,-37.6167,-73.65,59.76,81,15,22.59
13,Strangnas,SE,2022-03-10 21:46:12,59.3774,17.0312,31.28,77,91,8.79
14,Wadern,DE,2022-03-10 21:46:13,49.5333,6.8833,46.47,42,4,8.48
15,Sioux Lookout,CA,2022-03-10 21:46:13,50.1001,-91.917,12.27,44,40,13.8
16,Atuona,PF,2022-03-10 21:41:09,-9.8,-139.0333,78.75,73,25,16.73
17,Kapaa,US,2022-03-10 21:41:46,22.0752,-159.319,82.11,72,0,5.75
18,Bluff,NZ,2022-03-10 21:39:27,-46.6,168.3333,62.8,69,100,10.98
19,Skibotn,NO,2022-03-10 21:46:16,69.3913,20.2679,37.09,94,98,11.86
20,Cayenne,GF,2022-03-10 21:45:05,4.9333,-52.3333,82.09,57,20,4.61
21,Meulaboh,ID,2022-03-10 21:46:17,4.1363,96.1285,75.07,93,100,5.86
22,Avarua,CK,2022-03-10 21:42:25,-21.2078,-159.775,82.45,83,75,9.22
23,Puerto Ayora,EC,2022-03-10 21:46:17,-0.7393,-90.3518,85.96,84,72,3.0
24,Mar Del Plata,AR,2022-03-10 21:46:14,-38.0023,-57.5575,68.02,63,0,12.66
25,Half Moon Bay,US,2022-03-10 21:46:02,37.4636,-122.4286,70.02,25,0,11.5
26,Rikitea,PF,2022-03-10 21:40:27,-23.1203,-134.9692,78.64,70,11,7.43
27,Lucera,IT,2022-03-10 21:46:19,41.5082,15.3351,40.82,68,55,7.25
28,Port Macquarie,AU,2022-03-10 21:46:19,-31.4333,152.9167,67.89,65,94,7.23
29,Georgetown,MY,2022-03-10 21:45:15,5.4112,100.3354,80.53,93,20,5.01
30,Khatanga,RU,2022-03-10 21:42:21,71.9667,102.5,-19.12,99,100,5.64
31,Tuktoyaktuk,CA,2022-03-10 21:41:01,69.4541,-133.0374,-18.4,76,100,4.61
32,Kerema,PG,2022-03-10 21:46:21,-7.9631,145.7785,77.94,87,99,4.9
33,Pevek,RU,2022-03-10 21:42:29,69.7008,170.3133,11.88,67,1,11.07
34,San Patricio,US,2022-03-10 21:46:22,28.017,-97.5169,70.54,70,100,7.18
35,Cape Town,ZA,2022-03-10 21:38:57,-33.9258,18.4232,69.12,69,0,9.22
36,Port Alfred,ZA,2022-03-10 21:42:19,-33.5906,26.891,70.66,84,28,3.33
37,Punta Arenas,CL,2022-03-10 21:43:42,-53.15,-70.9167,51.91,66,75,9.22
38,Hilo,US,2022-03-10 21:43:28,19.7297,-155.09,82.26,68,20,10.36
39,Albany,US,2022-03-10 21:37:02,42.6001,-73.9662,43.75,70,87,2.73
40,San Andres,CO,2022-03-10 21:43:57,12.5847,-81.7006,84.22,65,20,10.36
41,Lakes Entrance,AU,2022-03-10 21:46:24,-37.8811,147.981,55.17,74,4,4.18
42,Busselton,AU,2022-03-10 21:39:37,-33.65,115.3333,70.61,52,66,9.89
43,Vaini,TO,2022-03-10 21:42:32,-21.2,-175.2,78.96,89,75,6.91
44,Yellowknife,CA,2022-03-10 21:37:52,62.456,-114.3525,-0.58,62,0,16.11
45,Vao,NC,2022-03-10 21:46:25,-22.6667,167.4833,78.98,78,30,11.52
46,Carnarvon,AU,2022-03-10 21:46:26,-24.8667,113.6333,75.27,88,0,3.44
47,Qingdao,CN,2022-03-10 21:46:26,36.0986,120.3719,46.0,93,75,8.95
48,Acarau,BR,2022-03-10 21:47:27,-2.8856,-40.12,79.88,81,100,10.13
49,Laguna,US,2022-03-10 21:47:27,38.421,-121.4238,67.1,15,0,20.71
50,Inuvik,CA,2022-03-10 21:47:28,68.3499,-133.7218,-10.34,73,75,4.61
51,Marquette,US,2022-03-10 21:41:04,46.5333,-87.6335,21.34,38,100,7.54
52,Castro,BR,2022-03-10 21:40:59,-24.7911,-50.0119,66.99,94,92,1.74
53,Luderitz,NA,2022-03-10 21:47:29,-26.6481,15.1594,72.03,69,91,2.33
54,Port Blair,IN,2022-03-10 21:47:29,11.6667,92.75,78.84,89,20,1.14
55,Thompson,CA,2022-03-10 21:41:53,55.7435,-97.8558,5.16,51,75,14.97
56,Saint-Philippe,RE,2022-03-10 21:47:30,-21.3585,55.7679,76.59,86,39,7.74
57,Moranbah,AU,2022-03-10 21:47:30,-22.0016,148.0466,77.23,79,8,11.39
