City_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,Janakpur,NP,66.18,clear sky,26.7183,85.9065,Hotel Sita Palace
1,1,Lorengau,PG,81.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
2,2,Kyaukse,MM,78.66,clear sky,21.6,96.1333,Shwe Thit Sar Guesthouse
3,5,Busselton,AU,70.61,broken clouds,-33.65,115.3333,Observatory Guest House
4,10,Pacific Grove,US,68.54,clear sky,36.6177,-121.9166,Lovers Point Inn
5,11,Half Moon Bay,US,70.02,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
6,13,Ahipara,NZ,71.73,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
7,14,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
8,16,Kaitangata,NZ,66.92,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
9,19,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
10,20,Mexico,PH,75.0,overcast clouds,15.0646,120.7198,stone place
11,23,Vaini,TO,78.96,thunderstorm,-21.2,-175.2,Keleti Beach Resort
12,24,Rikitea,PF,78.64,few clouds,-23.1203,-134.9692,People ThankYou
13,29,Port Alfred,ZA,70.66,scattered clouds,-33.5906,26.891,The Halyards Hotel
14,32,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
15,34,Meulaboh,ID,75.07,moderate rain,4.1363,96.1285,Kost Pria
16,35,Tena,EC,71.76,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
17,38,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
18,39,Sambava,MG,76.57,light rain,-14.2667,50.1667,Melrose
19,42,Atuona,PF,78.75,scattered clouds,-9.8,-139.0333,Villa Enata
20,44,Santa Helena,BR,74.64,light rain,-2.2311,-45.3,Turi Plaza Hotel
21,45,Mumford,GH,81.5,overcast clouds,5.2618,-0.759,Spanish Villa
22,51,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
23,55,Sibolga,ID,76.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
24,56,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
25,59,Kapaa,US,82.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,63,Taltal,CL,68.99,scattered clouds,-25.4,-70.4833,Residencial Karime
27,66,Chuy,UY,68.99,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,69,Kota Belud,MY,75.02,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
29,70,Puerto Narino,CO,78.66,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
30,74,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,75,Sao Filipe,CV,71.82,few clouds,14.8961,-24.4956,Hotel Xaguate
32,79,Victoria,HK,68.32,clear sky,22.2855,114.1577,Mini Hotel Central
33,81,Hermanus,ZA,67.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
34,83,Noumea,NC,81.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
35,84,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
36,85,Turbat,PK,74.73,clear sky,26.0023,63.044,Mubashar Quarters
