City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Janakpur,NP,26.7183,85.9065,66.18,40,0,6.55,clear sky
1,Lorengau,PG,-2.0226,147.2712,81.54,74,95,1.9,overcast clouds
2,Kyaukse,MM,21.6,96.1333,78.66,37,10,4.23,clear sky
3,Ushuaia,AR,-54.8,-68.3,49.66,62,0,14.97,clear sky
4,Bluff,NZ,-46.6,168.3333,62.8,69,100,10.98,overcast clouds
5,Busselton,AU,-33.65,115.3333,70.61,52,66,9.89,broken clouds
6,Portland,US,45.5234,-122.6762,52.61,41,75,3.44,broken clouds
7,Hauterive,FR,46.0901,3.4459,48.96,74,94,8.43,overcast clouds
8,Esso,RU,55.9333,158.7,24.13,94,100,2.21,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,9.22,broken clouds
10,Pacific Grove,US,36.6177,-121.9166,68.54,50,0,9.22,clear sky
11,Half Moon Bay,US,37.4636,-122.4286,70.02,25,0,11.5,clear sky
12,Riyadh,SA,24.6877,46.7219,86.14,14,38,17.34,scattered clouds
13,Ahipara,NZ,-35.1667,173.1667,71.73,66,42,9.64,scattered clouds
14,Avarua,CK,-21.2078,-159.775,82.45,83,75,9.22,broken clouds
15,Dikson,RU,73.5069,80.5464,-13.38,99,79,13.18,broken clouds
16,Kaitangata,NZ,-46.2817,169.8464,66.92,59,64,6.24,broken clouds
17,Kyzyl,RU,51.7,94.45,17.67,95,100,2.42,light snow
18,Tasiilaq,GL,65.6145,-37.6368,22.44,88,100,15.99,snow
19,Cape Town,ZA,-33.9258,18.4232,69.12,69,0,9.22,clear sky
20,Mexico,PH,15.0646,120.7198,75.0,80,100,4.65,overcast clouds
21,Provideniya,RU,64.3833,-173.3,19.51,68,0,35.99,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,30.15,94,100,17.72,light snow
23,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,thunderstorm
24,Rikitea,PF,-23.1203,-134.9692,78.64,70,11,7.43,few clouds
25,Leningradskiy,RU,69.3833,178.4167,8.26,77,2,6.71,clear sky
26,Nanchang,CN,28.6833,115.8833,62.49,72,31,2.73,scattered clouds
27,Potsdam,DE,52.3989,13.0657,38.17,57,49,5.01,scattered clouds
28,Karratha,AU,-20.7377,116.8463,85.28,59,2,1.68,clear sky
29,Port Alfred,ZA,-33.5906,26.891,70.66,84,28,3.33,scattered clouds
30,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,2.3,clear sky
31,Burnie,AU,-41.0667,145.9167,57.92,64,2,4.16,clear sky
32,Port-Gentil,GA,-0.7193,8.7815,82.36,89,40,8.05,scattered clouds
33,Naron,ES,43.5167,-8.1528,59.59,84,97,22.01,moderate rain
34,Meulaboh,ID,4.1363,96.1285,75.07,93,100,5.86,moderate rain
35,Tena,EC,-0.9833,-77.8167,71.76,87,96,0.63,light rain
36,Saskylakh,RU,71.9167,114.0833,-34.37,100,98,3.74,overcast clouds
37,Tessalit,ML,20.1986,1.0114,74.89,15,36,10.56,scattered clouds
38,Grand Gaube,MU,-20.0064,57.6608,79.2,86,7,3.0,clear sky
39,Sambava,MG,-14.2667,50.1667,76.57,92,100,5.32,light rain
40,Mataura,NZ,-46.1927,168.8643,62.47,65,100,5.28,light rain
41,Yulara,AU,-25.2406,130.9889,62.44,36,26,4.61,scattered clouds
42,Atuona,PF,-9.8,-139.0333,78.75,73,25,16.73,scattered clouds
43,Norman Wells,CA,65.282,-126.8329,-3.96,65,75,8.05,broken clouds
44,Santa Helena,BR,-2.2311,-45.3,74.64,97,100,2.48,light rain
45,Mumford,GH,5.2618,-0.759,81.5,88,94,9.78,overcast clouds
46,Jamestown,US,42.097,-79.2353,42.44,31,20,0.0,few clouds
47,Grafton,US,42.207,-71.6856,48.72,45,0,5.75,clear sky
48,Paamiut,GL,61.994,-49.6678,0.72,94,31,13.6,scattered clouds
49,Chokurdakh,RU,70.6333,147.9167,-16.92,100,96,6.13,overcast clouds
50,Ribeira Grande,PT,38.5167,-28.7,57.6,62,40,19.57,scattered clouds
51,Butaritari,KI,3.0707,172.7902,80.55,82,64,16.53,light rain
52,Lasa,IT,46.6166,10.7002,36.01,82,2,2.19,clear sky
53,Sitka,US,57.0531,-135.33,42.69,70,100,9.22,light rain
54,Albany,US,42.6001,-73.9662,43.75,70,87,2.73,overcast clouds
